project,project_loc,unit,province,country,region,status,fuel_type,capacity,technology,start_year,owner,parent,lat,lng,url
Ihovbor power station,,2-2,Edo,Nigeria,Africa,announced,waste heat from natural gas,127.0,ST,2030,Benin Generation Co Ltd,Niger Delta Power Holding Co,6.406782,5.682859,https://www.gem.wiki/Ihovbor_power_station
Ihovbor power station,,3,Edo,Nigeria,Africa,operating,natural gas,113.0,GT,2013,Benin Generation Co Ltd,Niger Delta Power Holding Co,6.406782,5.682859,https://www.gem.wiki/Ihovbor_power_station
Ihovbor power station,,4,Edo,Nigeria,Africa,operating,natural gas,113.0,GT,2013,Benin Generation Co Ltd,Niger Delta Power Holding Co,6.406782,5.682859,https://www.gem.wiki/Ihovbor_power_station
Ikot Abasi power station,,1,Akwa Ibom,Nigeria,Africa,announced,natural gas,125.0,GT,2025,Ikot Abasi Power Project Ltd,Ikot Abasi Power Project Ltd,4.566675075,7.595703909,https://www.gem.wiki/Ikot_Abasi_power_station
Ikot Abasi power station,,2,Akwa Ibom,Nigeria,Africa,announced,natural gas,125.0,GT,2025,Ikot Abasi Power Project Ltd,Ikot Abasi Power Project Ltd,4.566675075,7.595703909,https://www.gem.wiki/Ikot_Abasi_power_station
Kaduna power station,,1,Kaduna,Nigeria,Africa,announced,natural gas,900.0,CC,2034,NNPC Ltd,NNPC Ltd,10.59059078,7.411872304,https://www.gem.wiki/Kaduna_power_station
Kano power station,,1,Kano,Nigeria,Africa,announced,natural gas,450.0,CC,2024,NNPC Ltd,NNPC Ltd,11.474463,8.408401,https://www.gem.wiki/Kano_power_station
Kano power station,,2,Kano,Nigeria,Africa,announced,natural gas,450.0,CC,2024,NNPC Ltd,NNPC Ltd,11.474463,8.408401,https://www.gem.wiki/Kano_power_station
Kano power station,,3,Kano,Nigeria,Africa,announced,natural gas,450.0,CC,2024,NNPC Ltd,NNPC Ltd,11.474463,8.408401,https://www.gem.wiki/Kano_power_station
Kingline Ondo power station,,1,Ondo,Nigeria,Africa,shelved,natural gas,550.0,GT,,Kingline Development Nigeria Ltd; Themis,Chubu Electric Power Co Inc; ITOCHU Corp; Tenaska; Themis; Tokyo Electric Power Co,6.7247,4.6476,https://www.gem.wiki/Kingline_Ondo_power_station
Kingline Ondo power station,,2,Ondo,Nigeria,Africa,shelved,natural gas,550.0,GT,,Kingline Development Nigeria Ltd; Themis,Chubu Electric Power Co Inc; ITOCHU Corp; Tenaska; Themis; Tokyo Electric Power Co,6.7247,4.6476,https://www.gem.wiki/Kingline_Ondo_power_station
Knox power station,,1,Kogi,Nigeria,Africa,announced,natural gas,167.0,GT,2031,,,7.556111,6.655,https://www.gem.wiki/Knox_power_station
Knox power station,,2,Kogi,Nigeria,Africa,announced,natural gas,167.0,GT,2031,,,7.556111,6.655,https://www.gem.wiki/Knox_power_station
Knox power station,,3,Kogi,Nigeria,Africa,announced,natural gas,167.0,GT,2031,,,7.556111,6.655,https://www.gem.wiki/Knox_power_station
Lafarge power station,,1,Lagos,Nigeria,Africa,cancelled,natural gas,50.0,GT,,Lafarge Cement WAPCO,Lafarge Africa PLC,6.455220027,3.44355986,https://www.gem.wiki/Lafarge_power_station
Lafarge power station,,2-1,Lagos,Nigeria,Africa,announced,natural gas,110.0,GT,2025,Lafarge Cement WAPCO,Lafarge Africa PLC,6.455220027,3.44355986,https://www.gem.wiki/Lafarge_power_station
Lafarge power station,,2-2,Lagos,Nigeria,Africa,announced,natural gas,110.0,GT,2025,Lafarge Cement WAPCO,Lafarge Africa PLC,6.455220027,3.44355986,https://www.gem.wiki/Lafarge_power_station
