project,project_loc,unit,province,country,region,status,fuel_type,capacity,technology,start_year,owner,parent,lat,lng,url
Supertek power station,,4,Kogi,Nigeria,Africa,announced,natural gas,100.0,GT,2030,Supertek Electric Ltd,Supertek Electric Ltd,7.534372258,6.65599545,https://www.gem.wiki/Supertek_power_station
Supertek power station,,5,Kogi,Nigeria,Africa,announced,natural gas,100.0,GT,2030,Supertek Electric Ltd,Supertek Electric Ltd,7.534372258,6.65599545,https://www.gem.wiki/Supertek_power_station
Ughelli power station,,1,Delta,Nigeria,Africa,operating,natural gas,100.0,GT,1991,Transcorp Power Ltd,Transnational Corp of Nigeria PLC,5.541314,5.915909,https://www.gem.wiki/Ughelli_power_station
Ughelli power station,,2,Delta,Nigeria,Africa,operating,natural gas,100.0,GT,1991,Transcorp Power Ltd,Transnational Corp of Nigeria PLC,5.541314,5.915909,https://www.gem.wiki/Ughelli_power_station
Ughelli power station,,3,Delta,Nigeria,Africa,operating,natural gas,100.0,GT,1991,Transcorp Power Ltd,Transnational Corp of Nigeria PLC,5.541314,5.915909,https://www.gem.wiki/Ughelli_power_station
Ughelli power station,,4,Delta,Nigeria,Africa,operating,natural gas,100.0,GT,1991,Transcorp Power Ltd,Transnational Corp of Nigeria PLC,5.541314,5.915909,https://www.gem.wiki/Ughelli_power_station
Ughelli power station,,5,Delta,Nigeria,Africa,operating,natural gas,100.0,GT,1991,Transcorp Power Ltd,Transnational Corp of Nigeria PLC,5.541314,5.915909,https://www.gem.wiki/Ughelli_power_station
Ughelli power station,,6,Delta,Nigeria,Africa,operating,natural gas,100.0,GT,1991,Transcorp Power Ltd,Transnational Corp of Nigeria PLC,5.541314,5.915909,https://www.gem.wiki/Ughelli_power_station
Westcom power station,,1,Lagos,Nigeria,Africa,announced,natural gas,250.0,GT,2030,,,6.524442188,3.323740117,https://www.gem.wiki/Westcom_power_station
Westcom power station,,2,Lagos,Nigeria,Africa,announced,natural gas,250.0,GT,2030,,,6.524442188,3.323740117,https://www.gem.wiki/Westcom_power_station
Yellow Stone power station,,1,Kogi,Nigeria,Africa,announced,natural gas,180.0,GT,2024,,,7.534202,6.651532,https://www.gem.wiki/Yellow_Stone_power_station
Yellow Stone power station,,2,Kogi,Nigeria,Africa,announced,natural gas,180.0,GT,2024,,,7.534202,6.651532,https://www.gem.wiki/Yellow_Stone_power_station
