cell_id,period,grid_lat,grid_lon,event_count,fatalities_best,fatalities_low,fatalities_high,first_year,latest_year,state_based_events,non_state_events,one_sided_events,source_states,best_source_precision,least_source_precision
ucdp-05deg-9.75-13.25,2016-2025,9.75,13.25,1,1,1,1,2020,2020,0,0,1,Adamawa,3,3
ucdp-05deg-10.25-3.75,2016-2025,10.25,3.75,1,3,3,3,2023,2023,0,0,1,Niger,2,2
ucdp-05deg-10.25-5.25,2016-2025,10.25,5.25,1,1,1,1,2019,2019,0,0,1,Niger,1,1
ucdp-05deg-10.25-6.25,2016-2025,10.25,6.25,3,15,15,15,2016,2025,0,2,1,Niger,1,4
ucdp-05deg-10.25-6.75,2016-2025,10.25,6.75,8,77,55,112,2022,2025,7,0,1,Niger,1,5
ucdp-05deg-10.25-7.25,2016-2025,10.25,7.25,2,2,0,11,2021,2022,0,0,2,Kaduna; Niger,1,3
ucdp-05deg-10.25-7.75,2016-2025,10.25,7.75,27,379,372,510,2017,2025,0,26,1,Kaduna,1,5
ucdp-05deg-10.25-8.25,2016-2025,10.25,8.25,12,45,45,48,2019,2025,2,7,3,Kaduna,1,6
ucdp-05deg-10.25-8.75,2016-2025,10.25,8.75,51,218,210,257,2017,2025,0,51,0,Plateau,1,3
ucdp-05deg-10.25-9.75,2016-2025,10.25,9.75,3,6,5,6,2019,2024,0,1,2,Bauchi,1,2
ucdp-05deg-10.25-10.25,2016-2025,10.25,10.25,1,1,1,1,2025,2025,0,1,0,Bauchi,2,2
ucdp-05deg-10.25-11.25,2016-2025,10.25,11.25,3,1,1,6,2020,2024,0,3,0,Gombe,1,4
ucdp-05deg-10.25-11.75,2016-2025,10.25,11.75,2,9,9,9,2019,2022,1,1,0,Borno,3,3
ucdp-05deg-10.25-12.25,2016-2025,10.25,12.25,2,52,52,52,2020,2020,2,0,0,Borno,3,3
ucdp-05deg-10.25-12.75,2016-2025,10.25,12.75,19,119,89,137,2016,2025,4,3,12,Adamawa; Borno,1,3
ucdp-05deg-10.25-13.25,2016-2025,10.25,13.25,9,272,157,356,2017,2025,6,1,2,Adamawa,1,5
ucdp-05deg-10.75-4.75,2016-2025,10.75,4.75,2,22,22,22,2023,2025,0,1,1,Kebbi,1,3
ucdp-05deg-10.75-7.25,2016-2025,10.75,7.25,2,27,27,27,2018,2018,0,1,1,Kaduna,1,1
ucdp-05deg-10.75-7.75,2016-2025,10.75,7.75,1,1,0,1,2025,2025,0,0,1,Kaduna,3,3
ucdp-05deg-10.75-11.25,2016-2025,10.75,11.25,1,1,1,1,2025,2025,0,1,0,Gombe,1,1
ucdp-05deg-10.75-11.75,2016-2025,10.75,11.75,18,174,134,241,2016,2025,10,4,4,Borno; Gombe,1,5
ucdp-05deg-10.75-12.25,2016-2025,10.75,12.25,52,215,188,345,2016,2025,38,4,10,Borno,1,5
ucdp-05deg-10.75-12.75,2016-2025,10.75,12.75,102,480,428,656,2016,2025,48,2,52,Adamawa; Borno,1,5
ucdp-05deg-10.75-13.25,2016-2025,10.75,13.25,75,285,246,377,2016,2025,36,2,37,Adamawa; Borno,1,3
ucdp-05deg-10.75-13.75,2016-2025,10.75,13.75,40,196,193,235,2016,2025,24,2,14,Adamawa; Borno,1,3
ucdp-05deg-11.25-3.75,2016-2025,11.25,3.75,1,3,3,3,2025,2025,1,0,0,Kebbi,1,1
ucdp-05deg-11.25-4.75,2016-2025,11.25,4.75,1,1,1,1,2023,2023,0,0,1,Kebbi,1,1
ucdp-05deg-11.25-6.25,2016-2025,11.25,6.25,1,16,16,20,2021,2021,0,0,1,Zamfara,1,1
ucdp-05deg-11.25-7.25,2016-2025,11.25,7.25,1,0,0,50,2022,2022,0,1,0,Kaduna,3,3
ucdp-05deg-11.25-7.75,2016-2025,11.25,7.75,1,0,0,1,2022,2022,0,0,1,Kaduna,1,1
